21:24:49,00  -2.7366  -1.5731
21:24:49,25  -2.5994  -1.4976
21:24:49,50  -2.492  -1.5292
21:24:49,50  -2.4846  -1.5495
21:24:49,75  -2.5041  -1.5618
21:24:50,00  -2.4892  -1.6024
21:24:50,25  -2.5788  -1.6833
21:24:50,50  -2.541  -1.7217
21:24:50,50  -2.4994  -1.7703
21:24:50,75  -2.504  -1.8225
21:24:51,00  -2.5316  -1.8763
21:24:51,25  -2.3851  -1.8865
21:24:51,50  -2.3616  -1.8848
21:24:51,50  -2.3344  -1.8933
21:24:51,75  -2.3344  -1.8933
21:24:52,00  -2.3456  -1.8628
21:24:52,25  -2.2082  -1.9055
21:24:52,50  -2.1171  -1.952
21:24:52,50  -2.1058  -1.9829
21:24:52,75  -2.0611  -1.9695
21:24:53,00  -2.0367  -1.9679
21:24:53,25  -2.0594  -1.9058
21:24:53,50  -2.067  -1.8851
21:24:53,50  -2.0746  -1.8644
21:24:53,75  -2.0317  -1.776
21:24:54,00  -2.0202  -1.8072
21:24:54,25  -2.0752  -1.7259
21:24:54,50  -2.0958  -1.7383
21:24:54,50  -2.1012  -1.7919
21:24:54,75  -2.0996  -1.7279
21:24:55,00  -2.0828  -1.7052
21:24:55,25  -2.0338  -1.7012
21:24:55,50  -2.0529  -1.6491
21:24:55,50  -1.9292  -1.6386
21:24:55,75  -1.8366  -1.609
21:24:56,00  -1.4976  -1.5909
21:24:56,25  -1.5015  -1.5801
21:24:56,50  -1.5278  -1.5824
21:24:56,50  -1.5943  -1.6213
21:24:56,75  -1.4857  -1.6233
21:24:57,00  -1.5904  -1.632
21:24:57,25  -1.5225  -1.6707
21:24:57,50  -1.5526  -1.662
21:24:57,50  -1.5211  -1.7479
21:24:57,75  -1.5172  -1.7586
21:24:58,00  -1.5054  -1.7908
21:24:58,25  -1.4936  -1.823
21:24:58,50  -1.534  -1.8588
21:24:58,50  -1.4292  -1.8516
21:24:58,75  -1.319  -1.8551
21:24:59,00  -1.2224  -1.8931
21:24:59,25  -1.1602  -1.9114
21:24:59,50  -1.1602  -1.9114
21:24:59,50  -1.141  -1.8878
21:24:59,75  -1.145  -1.8768
21:25:00,00  -1.1802  -1.8568
21:25:00,25  -1.0983  -1.8512
21:25:00,50  -1.165  -1.8221
21:25:00,50  -1.1264  -1.7744
21:25:00,75  -1.103  -1.7614
21:25:01,00  -1.0835  -1.7373
21:25:01,25  -0.98472  -1.6958
21:25:01,50  -0.86415  -1.7095
21:25:01,50  -0.71732  -1.71
21:25:01,75  -0.71732  -1.71
21:25:02,00  -0.67196  -1.6718
21:25:02,25  -0.52174  -1.672
21:25:02,50  -0.568  -1.7106
21:25:02,50  -0.5389  -1.79
21:25:02,75  -0.47169  -1.8087
21:25:03,00  -0.4762  -1.879
21:25:03,25  -0.44249  -1.8885
21:25:03,50  -0.44249  -1.8885
21:25:03,50  -0.42997  -1.9227
21:25:03,75  -0.31068  -1.9154
21:25:04,00  -0.089417  -1.9256
21:25:04,25  -0.010586  -1.9685
21:25:04,50  0.064516  -2
